,Unit Name,Part,Rep Machine Class,Cost Per kg,weight,Supplier Name,MGC,DM Cost
1297201,Mannheim,61M5004,OFP,11.147272727272727,0.11,ARCO ARMATURENFABRIK,D03050400,1.2262
1297253,Mannheim,61M5004,OFP,11.145454545454545,0.11,ARCO ARMATURENFABRIK,D03050400,1.226
1299933,Mannheim,61M5005,OFP,26.000000000000004,0.06,ARCO ARMATURENFABRIK,D03050400,1.56
1299941,Mannheim,61M5005,OFP,8.666666666666668,0.18,ARCO ARMATURENFABRIK,D03050400,1.56
1299953,Mannheim,61M5005,OFP,26.055,0.06,ARCO ARMATURENFABRIK,D03050400,1.5633
1299961,Mannheim,61M5005,OFP,8.685,0.18,ARCO ARMATURENFABRIK,D03050400,1.5633
1299973,Mannheim,61M5005,OFP,26.083333333333332,0.06,ARCO ARMATURENFABRIK,D03050400,1.565
1299981,Mannheim,61M5005,OFP,8.694444444444445,0.18,ARCO ARMATURENFABRIK,D03050400,1.565
1304281,Mannheim,61M5010,OFP,11.200000000000001,0.1,ARCO ARMATURENFABRIK,D03050400,1.12
1307697,Mannheim,61M5012,OFP,14.714285714285714,0.07,ARCO ARMATURENFABRIK,D03050400,1.03
1307733,Mannheim,61M5012,OFP,14.665714285714284,0.07,ARCO ARMATURENFABRIK,D03050400,1.0266
1309021,Mannheim,61M5015,OFP,26.500000000000004,0.06,ARCO ARMATURENFABRIK,D03050400,1.59
1310293,Mannheim,61M5016,OFP,16.555555555555557,0.09,ARCO ARMATURENFABRIK,D03050400,1.49
1310313,Mannheim,61M5016,OFP,16.592222222222222,0.09,ARCO ARMATURENFABRIK,D03050400,1.4933
1310473,Mannheim,61M5016,OFP,16.611111111111114,0.09,ARCO ARMATURENFABRIK,D03050400,1.495
1312677,Mannheim,61M5018,OFP,8.115384615384615,0.26,ARCO ARMATURENFABRIK,D03050400,2.11
1312757,Mannheim,61M5018,OFP,8.134615384615385,0.26,ARCO ARMATURENFABRIK,D03050400,2.115
1314733,Mannheim,61M5022,OFP,26.71428571428571,0.07,ARCO ARMATURENFABRIK,D03050400,1.87
1315341,Mannheim,61M5023,OFP,15.0,0.11,AIR-WAY MANUFACTURING,D03050400,1.65
1316634,Mannheim,61M5025,OFP,22.125,0.08,ARCO ARMATURENFABRIK,D03050400,1.77
1316639,Mannheim,61M5025,OFP,25.285714285714285,0.07,ARCO ARMATURENFABRIK,D03050400,1.77
1316682,Mannheim,61M5025,OFP,22.1875,0.08,ARCO ARMATURENFABRIK,D03050400,1.775
1316687,Mannheim,61M5025,OFP,25.357142857142854,0.07,ARCO ARMATURENFABRIK,D03050400,1.775
1317409,Mannheim,61M5029,OFP,44.3125,0.16,ARCO ARMATURENFABRIK,D03050400,7.09
1317416,Mannheim,61M5029,OFP,39.38888888888889,0.18,ARCO ARMATURENFABRIK,D03050400,7.09
1319064,Mannheim,61M5040,OFP,14.17241379310345,0.29,ARCO ARMATURENFABRIK,D03050400,4.11
1320330,Mannheim,61M5071,OFP,17.545454545454543,0.11,ARCO ARMATURENFABRIK,D03050400,1.93
1320360,Mannheim,61M5071,OFP,17.5,0.11,ARCO ARMATURENFABRIK,D03050400,1.925
1320405,Mannheim,61M5071,OFP,17.514545454545456,0.11,ARCO ARMATURENFABRIK,D03050400,1.9266
1321982,Mannheim,61M5076,OFP,11.7,0.1,ARCO ARMATURENFABRIK,D03050400,1.17
1322036,Mannheim,61M5076,OFP,11.674999999999999,0.1,ARCO ARMATURENFABRIK,D03050400,1.1675
1322054,Mannheim,61M5076,OFP,11.682999999999998,0.1,ARCO ARMATURENFABRIK,D03050400,1.1683
1324340,Mannheim,61M5107,OFP,13.32,0.25,EATON INDUSTRIES LP,D03050400,3.33
1324346,Mannheim,61M5107,OFP,25.615384615384617,0.13,EATON INDUSTRIES LP,D03050400,3.33
1325048,Mannheim,61M5121,OFP,10.4,0.15,ARCO ARMATURENFABRIK,D03050400,1.56
1326147,Mannheim,61M5128,OFP,23.599999999999998,0.05,ARCO ARMATURENFABRIK,D03050400,1.18
1326151,Mannheim,61M5128,OFP,19.666666666666668,0.06,ARCO ARMATURENFABRIK,D03050400,1.18
1327132,Mannheim,61M5145,OFP,9.941176470588234,0.17,PARKER HANNIFIN GMBH & CO KG,D03050400,1.69
1327136,Mannheim,61M5145,OFP,18.77777777777778,0.09,PARKER HANNIFIN GMBH & CO KG,D03050400,1.69
1328936,Mannheim,61M5193,OFP,12.399999999999999,0.1,ARCO ARMATURENFABRIK,D03050400,1.24
1329161,Mannheim,61M5193,OFP,12.365999999999998,0.1,ARCO ARMATURENFABRIK,D03050400,1.2366
1329437,Mannheim,61M5208,OFP,13.384615384615383,0.13,ARCO ARMATURENFABRIK,D03050400,1.74
1329443,Mannheim,61M5208,OFP,24.857142857142854,0.07,ARCO ARMATURENFABRIK,D03050400,1.74
1351292,Mannheim,AL113144,OFP,19.847826086956523,0.46,ARGUS FLUIDTECHNIK GMBH,D03030110,9.13
1351320,Mannheim,AL113145,OFP,20.517857142857142,0.28,ALFAGOMMA GERMANY,D03030110,5.745
1351321,Mannheim,AL113145,OFP,19.150000000000002,0.3,ALFAGOMMA GERMANY,D03030110,5.745
1353498,Mannheim,AL117582,OFP,14.150943396226415,0.53,SMTG,D07010301,7.5
1353502,Mannheim,AL117582,OFP,13.392857142857142,0.56,SMTG,D07010301,7.5
1353628,Mannheim,AL117583,OFP,12.257575757575756,0.66,SMTG,D07010301,8.09
1353630,Mannheim,AL117583,OFP,12.640625,0.64,SMTG,D07010301,8.09
1353632,Mannheim,AL117583,OFP,11.23611111111111,0.72,SMTG,D07010301,8.09
1354144,Mannheim,AL150179,OFP,11.000000000000002,0.43,DIRISAMER ROHRBIEGETECHNIK,D03030200,4.73
1360302,Mannheim,AL156432,OFP,23.541666666666668,0.06,JOHANNES SCHÄFER GMBH & CO.,D03050400,1.4125
1360314,Mannheim,AL156432,OFP,23.583333333333336,0.06,JOHANNES SCHÄFER GMBH & CO.,D03050400,1.415
1360338,Mannheim,AL156432,OFP,23.555,0.06,JOHANNES SCHÄFER GMBH & CO.,D03050400,1.4133
1362111,Mannheim,AL159472,OFP,11.518518518518517,0.54,DIRISAMER ROHRBIEGETECHNIK,D03030200,6.22
1363934,Mannheim,AL166649,OFP,24.272727272727273,0.11,SELZER FERTIGUNGSTECHNIK,D07010301,2.67
1363941,Mannheim,AL166651,OFP,24.272727272727273,0.11,SELZER FERTIGUNGSTECHNIK,D07010301,2.67
1365576,Mannheim,AL171240,OFP,6.983606557377049,0.61,ALBERT BIEBL GMBH,D03030200,4.26
1365579,Mannheim,AL171240,OFP,15.214285714285712,0.28,ALBERT BIEBL GMBH,D03030200,4.26
1365835,Mannheim,AL172007,OFP,7.03125,0.32,ARCO ARMATURENFABRIK,D03050400,2.25
1365836,Mannheim,AL172007,OFP,25.0,0.09,ARCO ARMATURENFABRIK,D03050400,2.25
1366224,Mannheim,AL172735,OFP,7.984455958549223,1.93,ALBERT BIEBL GMBH,D03030200,15.41
1369342,Mannheim,AL175138,OFP,9.455882352941176,0.68,REGENSBURGER DRUCKGUSSWERKE,D07050200,6.43
1370290,Mannheim,AL175547,OFP,123.66666666666667,0.03,DIRISAMER ROHRBIEGETECHNIK,D03030200,3.71
1370355,Mannheim,AL175549,OFP,60.66666666666667,0.06,DIRISAMER ROHRBIEGETECHNIK,D03030200,3.64
1371135,Mannheim,AL176424,OFP,inf,0.0,ARGUS FLUIDTECHNIK GMBH,D03030110,8.93
1371137,Mannheim,AL176424,OFP,25.514285714285716,0.35,ARGUS FLUIDTECHNIK GMBH,D03030110,8.93
1371151,Mannheim,AL176426,OFP,12.123287671232877,0.73,ARGUS FLUIDTECHNIK GMBH,D03030110,8.85
1371167,Mannheim,AL176427,OFP,12.083333333333332,0.72,ARGUS FLUIDTECHNIK GMBH,D03030110,8.7
1371681,Mannheim,AL178864,OFP,26.73728813559322,1.18,ARGUS FLUIDTECHNIK GMBH,D03030110,31.55
1375093,Mannheim,AL203189,OFP,51.5,0.02,KONGSBERG AUTOMOTIVE AS,D03050400,1.03
1375141,Mannheim,AL203204,OFP,22.599999999999998,0.4,ARGUS FLUIDTECHNIK GMBH,D03030110,9.04
1375175,Mannheim,AL203220,OFP,17.869565217391305,0.23,ALBERT BIEBL GMBH,D03030200,4.11
1375480,Mannheim,AL204216,OFP,68.75,0.08,ARCO ARMATURENFABRIK,D03050400,5.5
1378137,Mannheim,AL212034,OFP,37.828125,0.64,ARGUS FLUIDTECHNIK GMBH,D03030110,24.21
1380972,Mannheim,AL217597,OFP,14.166666666666668,0.6,ALBERT BIEBL GMBH,D03030200,8.5
1382609,Mannheim,AL223264,OFP,38.14285714285714,0.07,PARKER HANNIFIN GMBH & CO KG,D03050400,2.67
1382689,Mannheim,AL223300,OFP,13.617834394904458,1.57,ARGUS FLUIDTECHNIK GMBH,D03030200,21.38
1382707,Mannheim,AL223301,OFP,19.17,1.0,ARGUS FLUIDTECHNIK GMBH,D03030200,19.17
1382730,Mannheim,AL223302,OFP,13.796610169491528,0.59,ARGUS FLUIDTECHNIK GMBH,D03030110,8.14
1382769,Mannheim,AL223303,OFP,7.515151515151516,0.99,ARGUS FLUIDTECHNIK GMBH,D03030110,7.44
1382915,Mannheim,AL223420,OFP,13.0,1.28,PARKER HANNIFIN GMBH & CO KG,D03030110,16.64
1382929,Mannheim,AL223486,OFP,13.833333333333334,0.24,BERGER + HERMANN,D03030200,3.32
1382932,Mannheim,AL223487,OFP,18.888888888888886,0.27,ALBERT BIEBL GMBH,D03030200,5.1
1383055,Mannheim,AL224169,OFP,22.145833333333336,0.48,DIRISAMER ROHRBIEGETECHNIK,D03030200,10.63
1383137,Mannheim,AL225004,OFP,35.160000000000004,0.75,ARGUS FLUIDTECHNIK GMBH,D03030110,26.37
1383437,Mannheim,AL225862,OFP,38.974999999999994,0.8,ARGUS FLUIDTECHNIK GMBH,D03030200,31.18
1383592,Mannheim,AL226602,OFP,15.84375,0.32,ALBERT BIEBL GMBH,D03030200,5.07
1385639,Mannheim,AL75373,OFP,5.130434782608695,0.23,HEINRICHS GMBH & CO KG,D14010110,1.18
1388487,Mannheim,AL78652,OFP,24.799999999999997,0.05,ARCO ARMATURENFABRIK,D03050400,1.24
1389853,Mannheim,AL81146,OFP,15.30952380952381,0.42,ARGUS FLUIDTECHNIK GMBH,D03030200,6.43
1389907,Mannheim,AL81147,OFP,17.097560975609756,0.41,ARGUS FLUIDTECHNIK GMBH,D03030200,7.01
1411435,Mannheim,GL101243,OFP,1.1762370189370799,16.37,SLR GIESSEREI ST. LEON-ROT,D07010301,19.255
1411450,Mannheim,GL166213,OFP,1.4833333333333332,10.8,WESO AURORAHUETTE GMBH,D07010301,16.02
1411451,Mannheim,GL166213,OFP,1.7760532150776054,9.02,WESO AURORAHUETTE GMBH,D07010301,16.02
1426380,Mannheim,L101142,OFP,26.0,0.04,KARL BERRANG GMBH,D14010110,1.04
1426954,Mannheim,L101573,OFP,11.333333333333334,0.18,KARL BERRANG GMBH,D14010110,2.04
1426973,Mannheim,L101574,OFP,66.5,0.02,KARL BERRANG GMBH,D03050400,1.33
1446243,Mannheim,L116284,OFP,1.9615384615384615,0.91,ODLEWNIA ZELIWA,D07010301,1.785
1454035,Mannheim,L152377,OFP,25.9,0.1,ARGUS FLUIDTECHNIK GMBH,D03030200,2.59
1456603,Mannheim,L154057,OFP,12.6,0.1,HEINRICHS GMBH & CO KG,D14010110,1.26
1456790,Mannheim,L154075LX1,OFP,0.16666666666666669,6.3,METOKOTE DEUTSCHLAND,D07010301,1.05
1456791,Mannheim,L154075LX1,OFP,0.18485915492957747,5.68,METOKOTE DEUTSCHLAND,D07010301,1.05
1463619,Mannheim,L156941,OFP,11.636363636363637,0.11,ARCO ARMATURENFABRIK,D03050400,1.28
1467482,Mannheim,L158360,OFP,16.25,0.08,ARCO ARMATURENFABRIK,D03050400,1.3
1467484,Mannheim,L158360,OFP,130.0,0.01,ARCO ARMATURENFABRIK,D03050400,1.3
1467502,Mannheim,L158360,OFP,16.1875,0.08,ARCO ARMATURENFABRIK,D03050400,1.295
1467504,Mannheim,L158360,OFP,129.5,0.01,ARCO ARMATURENFABRIK,D03050400,1.295
1474661,Mannheim,L168636,OFP,6.578947368421052,0.19,HUISSEL GMBH,D14010110,1.25
1476025,Mannheim,L169071,OFP,2.8456755228942905,17.69,SLR GIESSEREI ST. LEON-ROT,D07010301,50.34
1479029,Mannheim,L170160,OFP,4.59047619047619,1.05,HERN S.R.O.,D14010110,4.82
1479032,Mannheim,L170160,OFP,4.342342342342342,1.11,HERN S.R.O.,D14010110,4.82
1479707,Mannheim,L170683,OFP,10.2,0.2,HUISSEL GMBH,D14010110,2.04
1482782,Mannheim,L171518,OFP,7.2272727272727275,0.22,HUISSEL GMBH,D14010110,1.59
1482797,Mannheim,L171519,OFP,14.000000000000002,0.15,HUISSEL GMBH,D14010110,2.1
1491952,Mannheim,L200727,OFP,10.676470588235293,0.34,BERGER + HERMANN,D03030200,3.63
1500373,Mannheim,L210238,OFP,5.985714285714287,0.7,ODLEWNIA ZELIWA,D07010301,4.19
1500396,Mannheim,L210240,OFP,6.827272727272726,1.1,ODLEWNIA ZELIWA,D07010301,7.51
1500399,Mannheim,L210240,OFP,6.258333333333334,1.2,ODLEWNIA ZELIWA,D07010301,7.51
1501138,Mannheim,L211071,OFP,1.948214285714286,22.4,GIESSEREI HEUNISCH GMBH,D07010301,43.64
1507732,Mannheim,L221515,OFP,15.555555555555555,0.09,JOSEF FLECKNER,D14010110,1.4
1508390,Mannheim,L222895,OFP,27.14285714285714,0.07,HUISSEL GMBH,D14010110,1.9
1508496,Mannheim,L223046,OFP,23.0,0.06,HUISSEL GMBH,D14010110,1.38
1508527,Mannheim,L223214,OFP,5.703703703703703,0.27,JOSEF FLECKNER,D14010110,1.54
1520394,Mannheim,L76494,OFP,2.9999999999999996,0.46,"KUKAL & UHLÍR, S.R.O.",D14010110,1.38
1521847,Mannheim,L77774,OFP,6.594202898550725,0.69,BETSAIDE S A L,D07010301,4.55
1558606,Mannheim,R111102,OFP,4.75281690140845,7.1,DC INDUSTRIES INC,D07010301,33.745
1558609,Mannheim,R111102,OFP,4.712988826815642,7.16,DC INDUSTRIES INC,D07010301,33.745
1559711,Mannheim,R112945,OFP,70.0,0.03,ARCO ARMATURENFABRIK,D03050400,2.1
1569336,Mannheim,R124248,OFP,4.002314814814814,6.48,DC INDUSTRIES INC,D07010301,25.935
1575925,Mannheim,R153611,OFP,3.1817239950269376,24.13,COLUMBIA GEAR CORP,D07010301,76.775
1577811,Mannheim,R173276,OFP,97.5185185185185,0.27,JOHN DEERE WATERLOO WORKS,D07010301,26.33
1620548,Mannheim,R280073,OFP,15.214285714285712,0.07,CLOW STAMPING CO,D14010110,1.065
1647488,Mannheim,R556759,OFP,10.44047619047619,4.2,WORLD CLASS INDUSTRIES,D07010301,43.85
1656067,Mannheim,R93885,OFP,4.727891156462586,5.88,LOU-RICH INC,D07010301,27.8
1656068,Mannheim,R93885,OFP,6.083150984682713,4.57,LOU-RICH INC,D07010301,27.8
1656399,Mannheim,R94882,OFP,11.666666666666668,0.36,ARCO ARMATURENFABRIK,D03050400,4.2
1658930,Mannheim,RE173060,OFP,17.295454545454547,0.88,CURTIS PRODUCTS INC,D03030200,15.22
1662795,Mannheim,RE212396,OFP,17.11764705882353,0.17,ARCO ARMATURENFABRIK,D03050400,2.91
1665934,Mannheim,RE233784,OFP,13.049019607843137,1.02,CURTIS PRODUCTS INC,D03030200,13.31
1683846,Mannheim,RE47789,OFP,37.599999999999994,0.05,CURTIS PRODUCTS INC,D03030200,1.88
1688848,Mannheim,RE566109,OFP,70.5,0.08,CURTIS PRODUCTS INC,D03030200,5.64
1739596,Mannheim,61M5152,OFP,10.411764705882351,0.17,AIR-WAY MANUFACTURING,D03050400,1.77
1739603,Mannheim,61M5152,OFP,11.0625,0.16,AIR-WAY MANUFACTURING,D03050400,1.77
1766237,Mannheim,61M5030,OFP,25.58064516129032,0.31,ARCO ARMATURENFABRIK,D03050400,7.93
1832660,Mannheim,38H5093,OFP,53.2,0.05,KARL BERRANG GMBH,D03050400,2.66
1841914,Mannheim,61M5066,OFP,13.03125,0.32,ARCO ARMATURENFABRIK,D03050400,4.17
1841922,Mannheim,61M5066,OFP,13.451612903225806,0.31,ARCO ARMATURENFABRIK,D03050400,4.17
1843217,Mannheim,61M5156,OFP,22.71428571428571,0.07,ARCO ARMATURENFABRIK,D03050400,1.59
1984848,Mannheim,R532786,OFP,3.390625,1.28,JOHN DEERE USINE DE SARAN,D07010301,4.34
1984856,Mannheim,R532788,OFP,3.398373983739837,1.23,JOHN DEERE USINE DE SARAN,D07010301,4.18
2004529,Mannheim,61M5175,OFP,11.290322580645162,0.31,PARKER HANNIFIN GMBH & CO KG,D03050400,3.5
2004644,Mannheim,61M5211,OFP,9.916666666666666,0.12,ARCO ARMATURENFABRIK,D03050400,1.19
2004674,Mannheim,61M5212,OFP,166.0,0.01,ARCO ARMATURENFABRIK,D03050400,1.66
2004706,Mannheim,61M5238,OFP,9.842105263157896,0.19,ARCO ARMATURENFABRIK,D03050400,1.87
2004718,Mannheim,61M5278,OFP,inf,0.0,ARCO ARMATURENFABRIK,D03050400,3.78
2004719,Mannheim,61M5361,OFP,31.428571428571427,0.07,ARCO ARMATURENFABRIK,D03050400,2.2
2004721,Mannheim,61M5361,OFP,2.9729729729729732,0.74,ARCO ARMATURENFABRIK,D03050400,2.2
2004734,Mannheim,61M5419,OFP,16.615384615384617,0.13,ARCO ARMATURENFABRIK,D03050400,2.16
2004761,Mannheim,61M5517,OFP,409.0,0.01,ARCO ARMATURENFABRIK,D03050400,4.09
2005106,Mannheim,AL112560,OFP,2.2195402298850575,8.7,WESO AURORAHUETTE GMBH,D07010301,19.31
2005452,Mannheim,AL116382,OFP,20.27659574468085,0.47,ARGUS FLUIDTECHNIK GMBH,D03030110,9.53
2005797,Mannheim,AL155072,OFP,6.515789473684212,0.95,DIRISAMER ROHRBIEGETECHNIK,D03030200,6.19
2005798,Mannheim,AL155073,OFP,10.576923076923077,0.52,DIRISAMER ROHRBIEGETECHNIK,D03030200,5.5
2006893,Mannheim,AL168105,OFP,22.25,0.12,SELZER FERTIGUNGSTECHNIK,D07010301,2.67
2006900,Mannheim,AL168279,OFP,26.941176470588236,0.51,ARGUS FLUIDTECHNIK GMBH,D03030110,13.74
2006917,Mannheim,AL168502,OFP,31.57843137254902,1.02,PARKER HANNIFIN GMBH & CO KG,D03030110,32.21
2007519,Mannheim,AL172602,OFP,8.575221238938054,1.13,DIRISAMER ROHRBIEGETECHNIK,D03030200,9.69
2007520,Mannheim,AL172603,OFP,9.628865979381443,0.97,DIRISAMER ROHRBIEGETECHNIK,D03030200,9.34
2007521,Mannheim,AL172604,OFP,3.83921568627451,2.55,DIRISAMER ROHRBIEGETECHNIK,D03030200,9.79
2007523,Mannheim,AL172605,OFP,4.091304347826087,2.3,DIRISAMER ROHRBIEGETECHNIK,D03030200,9.41
2007583,Mannheim,AL172733,OFP,8.356382978723405,1.88,ALBERT BIEBL GMBH,D03030200,15.71
2007642,Mannheim,AL173365,OFP,8.497237569060774,1.81,ALBERT BIEBL GMBH,D03030200,15.38
2007819,Mannheim,AL173665,OFP,6.769230769230769,0.78,ALBERT BIEBL GMBH,D03030200,5.28
2007931,Mannheim,AL174518,OFP,6.177215189873417,0.79,ALBERT BIEBL GMBH,D03030200,4.88
2007953,Mannheim,AL175252,OFP,11.774647887323944,0.71,ALBERT BIEBL GMBH,D03030200,8.36
2008029,Mannheim,AL176132,OFP,166.0,0.02,ALBERT BIEBL GMBH,D03030200,3.32
2008056,Mannheim,AL176463,OFP,27.313725490196077,0.51,ARGUS FLUIDTECHNIK GMBH,D03030110,13.93
2008122,Mannheim,AL177603,OFP,1.889855072463768,3.45,SKS INDUSTRIELACKIERUNGEN,D14010110,6.52
2008125,Mannheim,AL177672,OFP,2.4098360655737707,12.2,HERN S.R.O.,D14010110,29.4
2008128,Mannheim,AL177838,OFP,3.5796875,6.4,HERN S.R.O.,D14010110,22.91
2008133,Mannheim,AL177988,OFP,44.800000000000004,0.35,ARGUS FLUIDTECHNIK GMBH,D03030200,15.68
2008205,Mannheim,AL178569,OFP,8.174999999999999,0.4,ARGUS FLUIDTECHNIK GMBH,D03030200,3.27
2008215,Mannheim,AL178984,OFP,15.100000000000001,0.6,HERN S.R.O.,D14010110,9.06
2008284,Mannheim,AL179981,OFP,10.444444444444445,0.36,ARGUS FLUIDTECHNIK GMBH,D03030200,3.76
2008315,Mannheim,AL180491,OFP,32.2,0.5,ARGUS FLUIDTECHNIK GMBH,D03030110,16.1
2008688,Mannheim,AL200076,OFP,3.8333333333333335,0.48,HUISSEL GMBH,D14010110,1.84
2008723,Mannheim,AL200327,OFP,23.0,0.12,ARGUS FLUIDTECHNIK GMBH,D03030200,2.76
2008743,Mannheim,AL200328,OFP,24.6,0.15,ARGUS FLUIDTECHNIK GMBH,D03030200,3.69
2008763,Mannheim,AL200330,OFP,25.875,0.24,ARGUS FLUIDTECHNIK GMBH,D03030200,6.21
2009251,Mannheim,AL201854,OFP,22.268292682926834,0.82,ARGUS FLUIDTECHNIK GMBH,D03030110,18.26
2009389,Mannheim,AL202325,OFP,27.099999999999998,0.1,DIRISAMER ROHRBIEGETECHNIK,D03030200,2.71
2009390,Mannheim,AL202325,OFP,9.033333333333333,0.3,DIRISAMER ROHRBIEGETECHNIK,D03030200,2.71
2009399,Mannheim,AL202436,OFP,7.6304347826086945,0.92,HERN S.R.O.,D14010110,7.02
2009401,Mannheim,AL202436,OFP,7.3125,0.96,HERN S.R.O.,D14010110,7.02
2009448,Mannheim,AL202437,OFP,7.749999999999999,0.92,HERN S.R.O.,D14010110,7.13
2009515,Mannheim,AL202551,OFP,26.47222222222222,0.72,ALBERT BIEBL GMBH,D03030200,19.06
2009737,Mannheim,AL203235LX2,OFP,1.59765625,7.68,HERN S.R.O.,D14010110,12.27
2010224,Mannheim,AL204019,OFP,27.596774193548388,0.62,ARGUS FLUIDTECHNIK GMBH,D03030110,17.11
2010225,Mannheim,AL204019,OFP,31.685185185185183,0.54,ARGUS FLUIDTECHNIK GMBH,D03030110,17.11
2010345,Mannheim,AL204837,OFP,6.344827586206898,0.29,HUISSEL GMBH,D14010110,1.84
2010479,Mannheim,AL204872,OFP,16.814285714285713,0.35,DIPL. ING. K. DIETZEL GMBH,D03030110,5.885
2010593,Mannheim,AL205166,OFP,10.045454545454545,1.76,REGENSBURGER DRUCKGUSSWERKE,D07050200,17.68
2010663,Mannheim,AL205168,OFP,10.045454545454545,1.76,REGENSBURGER DRUCKGUSSWERKE,D07050200,17.68
2010703,Mannheim,AL205172,OFP,9.930232558139535,0.43,DIPL. ING. K. DIETZEL GMBH,D03030110,4.27
2010755,Mannheim,AL205260,OFP,38.85714285714286,0.42,ARGUS FLUIDTECHNIK GMBH,D03030110,16.32
2010796,Mannheim,AL205392,OFP,21.67391304347826,0.46,ARGUS FLUIDTECHNIK GMBH,D03030200,9.97
2010800,Mannheim,AL205393,OFP,25.28571428571429,0.49,ARGUS FLUIDTECHNIK GMBH,D03030200,12.39
2011450,Mannheim,AL206137,OFP,11.565217391304348,0.46,ARGUS FLUIDTECHNIK GMBH,D03030200,5.32
2011451,Mannheim,AL206138,OFP,12.339285714285714,0.56,ARGUS FLUIDTECHNIK GMBH,D03030200,6.91
2011454,Mannheim,AL206172,OFP,25.923076923076923,0.52,ARGUS FLUIDTECHNIK GMBH,D03030200,13.48
2011460,Mannheim,AL206189,OFP,10.75,0.48,ALBERT BIEBL GMBH,D03030200,5.16
2011464,Mannheim,AL206190,OFP,11.348837209302326,0.43,ALBERT BIEBL GMBH,D03030200,4.88
2011468,Mannheim,AL206191,OFP,11.975,0.4,ALBERT BIEBL GMBH,D03030200,4.79
2011472,Mannheim,AL206193,OFP,11.0,0.47,ALBERT BIEBL GMBH,D03030200,5.17
2011476,Mannheim,AL206194,OFP,11.85,0.4,ALBERT BIEBL GMBH,D03030200,4.74
2011480,Mannheim,AL206195,OFP,13.485714285714286,0.35,ALBERT BIEBL GMBH,D03030200,4.72
2011484,Mannheim,AL206196,OFP,14.666666666666668,0.3,ALBERT BIEBL GMBH,D03030200,4.4
2011487,Mannheim,AL206197,OFP,12.555555555555555,0.36,ALBERT BIEBL GMBH,D03030200,4.52
2011493,Mannheim,AL206355,OFP,10.864864864864863,0.37,ARGUS FLUIDTECHNIK GMBH,D03030200,4.02
2011540,Mannheim,AL206513,OFP,12.15625,0.32,DIPL. ING. K. DIETZEL GMBH,D03030110,3.89
2011544,Mannheim,AL206527,OFP,27.48148148148148,0.54,ALBERT BIEBL GMBH,D03030200,14.84
